Code,Description,Sequence,Status
IO-1,Critical Thinking: Students will demonstrate the ability to analyze complex problems and develop evidence-based solutions,1,Active
IO-2,Communication: Students will communicate effectively in writing and oral presentations appropriate to their discipline,2,Active
IO-3,Quantitative Reasoning: Students will apply mathematical and statistical methods to interpret data and solve problems,3,Active
IO-4,Information Literacy: Students will locate evaluate and ethically use information from diverse sources,4,Active
IO-5,Global Awareness: Students will demonstrate understanding of diverse cultures and global perspectives,5,Active
IO-6,Ethical Reasoning: Students will analyze ethical issues and apply ethical frameworks to decision-making,6,Active
IO-7,Teamwork and Collaboration: Students will work effectively in diverse teams to accomplish shared goals,7,Active
IO-8,Scientific Reasoning: Students will apply scientific methods to investigate natural phenomena,8,Active
IO-9,Creative Expression: Students will demonstrate creative thinking and artistic expression,9,Active
IO-10,Civic Engagement: Students will engage responsibly in civic life and contribute to their communities,10,Active
