Program Code,Institutional Outcome Code,Program Outcome Code,Description,Sequence,Status
CS-BS,IO-1,PO-CS-1,Students will analyze complex computing problems and apply computing principles to identify solutions,1,Active
CS-BS,IO-2,PO-CS-2,Students will communicate effectively with technical and non-technical audiences,2,Active
CS-BS,IO-3,PO-CS-3,Students will apply mathematical foundations and algorithmic principles to computing problems,3,Active
CS-BS,IO-7,PO-CS-4,Students will function effectively as members of software development teams,4,Active
CS-BS,IO-6,PO-CS-5,Students will analyze professional and ethical responsibilities in computing,5,Active
BUS-BS,IO-1,PO-BUS-1,Students will analyze business problems using analytical and critical thinking skills,1,Active
BUS-BS,IO-2,PO-BUS-2,Students will communicate business concepts effectively in written and oral formats,2,Active
BUS-BS,IO-6,PO-BUS-3,Students will demonstrate ethical decision-making in business contexts,3,Active
BUS-BS,IO-7,PO-BUS-4,Students will work effectively in diverse business teams,4,Active
BUS-BS,IO-5,PO-BUS-5,Students will demonstrate understanding of global business environments,5,Active
NURS-BSN,IO-1,PO-NURS-1,Students will apply clinical reasoning to provide patient-centered care,1,Active
NURS-BSN,IO-2,PO-NURS-2,Students will communicate effectively with patients families and healthcare teams,2,Active
NURS-BSN,IO-6,PO-NURS-3,Students will demonstrate ethical and professional nursing practice,3,Active
NURS-BSN,IO-8,PO-NURS-4,Students will apply evidence-based practice to improve patient outcomes,4,Active
NURS-BSN,IO-7,PO-NURS-5,Students will collaborate with interprofessional teams to deliver quality care,5,Active
ENG-BA,IO-1,PO-ENG-1,Students will analyze literary texts using appropriate critical frameworks,1,Active
ENG-BA,IO-2,PO-ENG-2,Students will produce clear coherent and persuasive written arguments,2,Active
ENG-BA,IO-4,PO-ENG-3,Students will conduct literary research using primary and secondary sources,3,Active
ENG-BA,IO-9,PO-ENG-4,Students will demonstrate creative writing skills in multiple genres,4,Active
MATH-BS,IO-3,PO-MATH-1,Students will apply mathematical reasoning to solve complex problems,1,Active
MATH-BS,IO-8,PO-MATH-2,Students will construct and evaluate mathematical proofs,2,Active
MATH-BS,IO-1,PO-MATH-3,Students will analyze mathematical models and their applications,3,Active
MATH-BS,IO-2,PO-MATH-4,Students will communicate mathematical ideas clearly and precisely,4,Active
PSYCH-BA,IO-1,PO-PSYCH-1,Students will apply psychological theories to explain human behavior,1,Active
PSYCH-BA,IO-8,PO-PSYCH-2,Students will use scientific methods to investigate psychological phenomena,2,Active
PSYCH-BA,IO-3,PO-PSYCH-3,Students will interpret psychological research using statistical methods,3,Active
PSYCH-BA,IO-6,PO-PSYCH-4,Students will evaluate ethical issues in psychological research and practice,4,Active
PSYCH-BA,IO-5,PO-PSYCH-5,Students will demonstrate awareness of diversity in psychological contexts,5,Active
